"VBIS Classification","2021-06-16",,,,"Brick Equipment Classes",,,,,,
"Level 1","Level 2","Level 3","Level 4",,,,,,,,
"Administration","Documents","Model",,"AD-Doc-Mo",,,,,,,
"Administration","Documents","Model","Source File","AD-Doc-Mo-SF",,,,,,,
"Administration","Documents","Model","Federated File","AD-Doc-Mo-FF",,,,,,,
"Administration","Documents","Model","Point Cloud Scan","AD-Doc-Mo-PCS",,,,,,,
"Administration","Documents","OH&S",,"AD-Doc-OHS",,,,,,,
"Administration","Documents","OH&S","Guideline","AD-Doc-OHS-Gu",,,,,,,
"Administration","Documents","OH&S","Hazard Register","AD-Doc-OHS-HReg",,,,,,,
"Administration","Documents","OH&S","Management System","AD-Doc-OHS-MS",,,,,,,
"Administration","Documents","OH&S","Plan","AD-Doc-OHS-Pl",,,,,,,
"Administration","Documents","OH&S","Policy","AD-Doc-OHS-Po",,,,,,,
"Administration","Documents","OH&S","Procedure","AD-Doc-OHS-Pr",,,,,,,
"Administration","Documents","OH&S","Risk Analysis","AD-Doc-OHS-RA",,,,,,,
"Administration","Documents","OH&S","Risk Register","AD-Doc-OHS-RReg",,,,,,,
"Administration","Documents","OH&S","Safe Work Instruction","AD-Doc-OHS-SWI",,,,,,,
"Administration","Documents","OH&S","Safety Data Sheet","AD-Doc-OHS-SDS",,,,,,,
"Administration","Documents","OH&S","Safety Plan","AD-Doc-OHS-SP",,,,,,,
"Administration","Documents","Programme",,"AD-Doc-Pr",,,,,,,
"Administration","Documents","Register",,"AD-Doc-Reg",,,,,,,
"Administration","Documents","Register","Assets","AD-Doc-Reg-As",,,,,,,
"Administration","Documents","Register","Documents","AD-Doc-Reg-Doc",,,,,,,
"Administration","Documents","Register","Equipment","AD-Doc-Reg-Eq",,,,,,,
"Administration","Documents","Report",,"AD-Doc-Re",,,,,,,
"Administration","Documents","Schedule",,"AD-Doc-Sc",,,,,,,
"Administration","Documents","Software",,"AD-Doc-So",,,,,,,
"Administration","Documents","Software","Operating System","AD-Doc-So-OS",,,,,,,
"Administration","Documents","Software","Firmware","AD-Doc-So-Fi",,,,,,,
"Administration","Documents","Software","Application","AD-Doc-So-Ap",,,,,,,
"Administration","Documents","Specification",,"AD-Doc-Spec",,,,,,,
"Administration","Documents","Technical Literature",,"AD-Doc-TL",,,,,,,
"Administration","Documents","Template",,"AD-Doc-Te",,,,,,,
"Administration","Documents","Template","Document","AD-Doc-Te-Doc",,,,,,,
"Administration","Documents","Template","Drawing","AD-Doc-Te-Dr",,,,,,,
"Administration","Documents","Template","Model","AD-Doc-Te-Mo",,,,,,,
"Administration","Documents","Template","Presentation","AD-Doc-Te-Pr",,,,,,,
"Administration","Documents","Template","Spreadsheet","AD-Doc-Te-Sp",,,,,,,
"Administration","Documents","Test Results",,"AD-Doc-TR",,,,,,,
"Administration","Documents","Warranty",,"AD-Doc-Wa",,,,,,,
"Administration","Documents","Warranty","Certificate","AD-Doc-Wa-Ce",,,,,,,
"Administration","Documents","Warranty","Claim","AD-Doc-Wa-Cl",,,,,,,
"Administration","Documents","Warranty","Terms& Conditions","AD-Doc-Wa-TC",,,,,,,
"Administration","Documents","Warranty","Warranty Record","AD-Doc-Wa-WR",,,,,,,
"Audio-Visual",,,,"AV",,,,,,,
"Audio-Visual","Audio",,,"AV-Au",,,,,,,
"Audio-Visual","Attendant Call System",,,"AV-ACS",,,,,,,
"Audio-Visual","Broadcasting Routers",,,"AV-BR",,,,,,,
"Audio-Visual","Cameras",,,"AV-Ca","brick: Camera",,,,,,
"Audio-Visual","Cameras","Webcam ",,"AV-Ca-We","brick: Camera",,,,,,
"Audio-Visual","Cameras","LifeCam",,"AV-Ca-Li","brick: Camera",,,,,,
"Audio-Visual","Cameras","IP Camera",,"AV-Ca-IC","brick: Camera",,,,,,
"Audio-Visual","Camera Robotics",,,"AV-CR","brick: Camera",,,,,,
"Audio-Visual","CEA A/V Systems",,,"AV-CAS",,,,,,,
"Audio-Visual","Clocks",,,"AV-Cl",,,,,,,
"Audio-Visual","Conference Equipment",,,"AV-CE",,,,,,,
"Audio-Visual","Conference Equipment","Video Conference Device",,"AV-CE-VCD",,,,,,,
"Audio-Visual","Conference Equipment","Telephone Conference Device",,"AV-CE-TCD",,,,,,,
"Audio-Visual","Digital Audio Recording& Transcript",,,"AV-DART",,,,,,,
"Audio-Visual","Debate Timers",,,"AV-DT",,,,,,,
"Audio-Visual","Distributed Antenna System",,,"AV-DAS",,,,,,,
"Audio-Visual","Distributed Antenna System","Antenna",,"AV-DAS-An",,,,,,,
"Audio-Visual","Distributed Antenna System","Antenna","Ceiling mounted","AV-DAS-An-CM",,,,,,,
"Audio-Visual","Distributed Antenna System","Antenna","Wall mounted","AV-DAS-An-WM",,,,,,,
"Audio-Visual","Distributed Antenna System","Backbone Copper",,"AV-DAS-BCu",,,,,,,
"Audio-Visual","Distributed Antenna System","Backbone Fibre",,"AV-DAS-BF",,,,,,,
"Audio-Visual","Distributed Antenna System","Server",,"AV-DAS-Se",,,,,,,
"Audio-Visual","Division Bells",,,"AV-DB",,,,,,,
"Audio-Visual","Events in Progress/CRIIB",,,"AV-EIP",,,,,,,
"Audio-Visual","Electronic Media Monitoring",,,"AV-EMM",,,,,,,
"Audio-Visual","FlashLink",,,"AV-Fl",,,,,,,
"Audio-Visual","Hearing Assistance",,,"AV-HA",,,,,,,
"Audio-Visual","Hearing Assistance","Audio Induction Loop System",,"AV-HA-AILS",,,,,,,
"Audio-Visual","Hearing Assistance","Radio Frequency",,"AV-HA-RF",,,,,,,
"Audio-Visual","Hearing Assistance","Infrared",,"AV-HA-IR",,,,,,,
"Audio-Visual","Local Audio Panels",,,"AV-LAP",,,,,,,
"Audio-Visual","Master Antenna Television",,,"AV-MATV",,,,,,,
"Audio-Visual","Master Antenna Television","Amplifier",,"AV-MATV-Am",,,,,,,
"Audio-Visual","Master Antenna Television","Signal Processor",,"AV-MATV-SP",,,,,,,
"Audio-Visual","Media",,,"AV-Me",,,,,,,
"Audio-Visual","Microphone",,,"AV-Mic",,,,,,,
"Audio-Visual","Microphone","Studio",,"AV-Mic-St",,,,,,,
"Audio-Visual","Microphone","Studio","Condenser","AV-Mic-St-Co",,,,,,,
"Audio-Visual","Microphone","Studio","Directional","AV-Mic-St-Di",,,,,,,
"Audio-Visual","Microphone","Video",,"AV-Mic-Vi",,,,,,,
"Audio-Visual","Microphone","Video","Condenser","AV-Mic-Vi-Co",,,,,,,
"Audio-Visual","Microphone","Video","Directional","AV-Mic-Vi-Di",,,,,,,
"Audio-Visual","Microphone","Live",,"AV-Mic-Li",,,,,,,
"Audio-Visual","Microphone","Live","Condenser","AV-Mic-Li-Co",,,,,,,
"Audio-Visual","Microphone","Live","Directional","AV-Mic-Li-Di",,,,,,,
"Audio-Visual","Microphone","Mobile",,"AV-Mic-Mo",,,,,,,
"Audio-Visual","Microphone","Mobile","Condenser","AV-Mic-Mo-Co",,,,,,,
"Audio-Visual","Microphone","Mobile","Directional","AV-Mic-Mo-Di",,,,,,,
"Audio-Visual","Multi-Viewers",,,"AV-Mu",,,,,,,
"Audio-Visual","Patient Entertainment System",,,"AV-PES",,,,,,,
"Audio-Visual","Patient Entertainment System","PES Server",,"AV-PES-PS",,,,,,,
"Audio-Visual","Patient Entertainment System","Free to Air Antenna",,"AV-PES-FTAA",,,,,,,
"Audio-Visual","Patient Entertainment System","TV",,"AV-PES-Tv",,,,,,,
"Audio-Visual","Presentation Displays",,,"AV-PDi",,,,,,,
"Audio-Visual","Presentation Displays","Interactive Screen",,"AV-PDi-IS",,,,,,,
"Audio-Visual","Presentation Displays","Interactive Whiteboard",,"AV-PDi-IW",,,,,,,
"Audio-Visual","Public Address System",,,"AV-PAS",,,,,,,
"Audio-Visual","Public Address System","Microphone",,"AV-PAS-Mic",,,,,,,
"Audio-Visual","Public Address System","Control Panel",,"AV-PAS-ConP",,,,,,,
"Audio-Visual","Public Address System","Mixer",,"AV-PAS-Mix",,,,,,,
"Audio-Visual","Public Address System","Amplifier",,"AV-PAS-Am",,,,,,,
"Audio-Visual","Public Address System","Speaker",,"AV-PAS-Sp",,,,,,,
"Audio-Visual","Production Control Rooms",,,"AV-PConR",,,,,,,
"Audio-Visual","Projection Devices",,,"AV-PD",,,,,,,
"Audio-Visual","Projection Devices","Projector unit",,"AV-PD-PU",,,,,,,
"Audio-Visual","Projection Devices","Projector Screen",,"AV-PD-PS",,,,,,,
"Audio-Visual","Radio Frequency/Antennas",,,"AV-RF",,,,,,,
"Audio-Visual","Sound OPS",,,"AV-SO",,,,,,,
"Audio-Visual","SPG (Broadcast Ref)",,,"AV-SPG",,,,,,,
"Audio-Visual","Talkback",,,"AV-Ta",,,,,,,
"Audio-Visual","Portable Two Way Radio",,,"AV-PTWR",,,,,,,
"Audio-Visual","Portable Two Way Radio","Analogue",,"AV-PTWR-An",,,,,,,
"Audio-Visual","Portable Two Way Radio","Analogue","Very High Frequency","AV-PTWR-An-VHF",,,,,,,
"Audio-Visual","Portable Two Way Radio","Analogue","Ultra High Frequency","AV-PTWR-An-UHF",,,,,,,
"Audio-Visual","Portable Two Way Radio","Analogue","Multi Band","AV-PTWR-An-MB",,,,,,,
"Audio-Visual","Portable Two Way Radio","Digital",,"AV-PTWR-Di",,,,,,,
"Audio-Visual","Portable Two Way Radio","Digital","Very High Frequency","AV-PTWR-Di-VHF",,,,,,,
"Audio-Visual","Portable Two Way Radio","Digital","Ultra High Frequency","AV-PTWR-Di-UHF",,,,,,,
"Audio-Visual","Portable Two Way Radio","Digital","Multi Band","AV-PTWR-Di-MB",,,,,,,
"Audio-Visual","Compact Two Way Radio",,,"AV-CTWR",,,,,,,
"Audio-Visual","Compact Two Way Radio","Analogue",,"AV-CTWR-An",,,,,,,
"Audio-Visual","Compact Two Way Radio","Analogue","Very High Frequency","AV-CTWR-An-VHF",,,,,,,
"Audio-Visual","Compact Two Way Radio","Analogue","Ultra High Frequency","AV-CTWR-An-UHF",,,,,,,
"Audio-Visual","Compact Two Way Radio","Analogue","Multi Band","AV-CTWR-An-MB",,,,,,,
"Audio-Visual","Compact Two Way Radio","Digital",,"AV-CTWR-Di",,,,,,,
"Audio-Visual","Compact Two Way Radio","Digital","Very High Frequency","AV-CTWR-Di-VHF",,,,,,,
"Audio-Visual","Compact Two Way Radio","Digital","Ultra High Frequency","AV-CTWR-Di-UHF",,,,,,,
"Audio-Visual","Compact Two Way Radio","Digital","Multi Band","AV-CTWR-Di-MB",,,,,,,
